partido,localidad,usuarios
ALMIRANTE BROWN,GLEW,13
AVELLANEDA,AVELLANEDA,2
CAPITAL,ALMAGRO,31
CAPITAL,BALVANERA,164
CAPITAL,BARRACAS,20
CAPITAL,CABALLITO,53
CAPITAL,CAPITAL,23
CAPITAL,CONSTITUCION,39
CAPITAL,FLORES,53
CAPITAL,LA BOCA,71
CAPITAL,MATADEROS,18
CAPITAL,MONTE CASTRO,135
CAPITAL,NUEVA POMPEYA,11
CAPITAL,VELEZ SARFIELD,35
CAPITAL,VILLA CRESPO,29
CAPITAL,VILLA DEVOTO,41
CAPITAL,VILLA LUGANO,20
FLORENCIO VARELA,FLORENCIO VARELA,9
FLORENCIO VARELA,ING. ALLAN,13
LOMAS DE ZAMORA,LOMAS DE ZAMORA,164
LOMAS DE ZAMORA,TEMPERLEY,67
PTE PERON,GUERNICA,18
